from,to,time,time period,edge,directly
HG,56,1944,,,
SKD,56,1944,,,
MNR,56,NA,,,
BJ,FP,NA,,1,2
FP,HG,1944,,1,2
HG,SKD,1944,,1,1
SKD,MNR,NA,,5,2
MN,57,1657,,,1
FP,57,,,,
HG,57,,,,
SKD,57,,,,
RF,57,,,,
MN,FP,,,1,1
FP,HG,,,,2
HG,SKD,1944,,1,1
SKD,RF,,,11,2
JJV,58,1641,,,1
FP,58,,,,
HG,58,,,,
SKD,58,,,,
MNR,58,,,,
JJV,FP,,,1,1
FP,HG,,,,2
HG,SKD,1944,,1,1
SKD,MNR,,,11,2
LG,22,,,,
HG,22,,,,
HEG,22,,,,
CG,22,,,,
STB,22,,,,
LG,22,,,,1
22,HG,,,,2
HG,HEG,,,,1
HEG,CG,,,,1
CG,STB,,,,1
AGR,23,,,,
TH,23,,,,
HG,23,,,,
MG,23,,,,
HEG,23,,,,
CG,23,,,,
STB,23,,,,
BD,23,,,,
AGR,23,NA,,,
23,TH,,,,
TH,HG,,,,
HG,MG,,,,
MG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
STB,BD,,,,
OG,24,,,,
HG,24,,,,
OMGG,24,,,,
HG,24,,,,
HEG,24,,,,
CG,24,,,,
STB,24,,,,
OG,24,,,,
24,HG,,,,
HG,OMGG,,,,
OMGG,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
GG,25,,,,
VGF,25,,,,
GAF,25,,,,
HG,25,,,,
HEG,25,,,,
CG,25,,,,
STB,25,,,,
GG,25,,,,
25,VGF,,,,
VGF,GAF,,,,
GAF,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
MAG,26,,,,
AELB,26,,,,
AGGP,26,,,,
PDG,26,,,,
HG,26,,,,
HEG,26,,,,
CG,26,,,,
STB,26,,,,
MAG,26,,,,
26,AELB,,,,
AELB,AGGP,,,,
AGGP,PDG,,,,
PDG,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
BK,27,,,,
HG,27,,,,
OMGG,27,,,,
HG,27,,,,
HEG,27,,,,
CG,27,,,,
STB,27,,,,
BK,27,,,,
27,HG,,,,
HG,OMGG,,,,
OMGG,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
WL,28,,,,
FSG,28,,,,
HG,28,,,,
OMGG,28,,,,
HG,28,,,,
HEG,28,,,,
CG,28,,,,
STB,28,,,,
WL,28,,,,
28,FSG,,,,
FSG,HG,,,,
HG,OMGG,,,,
OMGG,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
WL,29,,,,
FSG,29,,,,
HG,29,,,,
OMGG,29,,,,
HG,29,,,,
HEG,29,,,,
CG,29,,,,
STB,29,,,,
WL,29,,,,
29,FSG,,,,
FSG,HG,,,,
HG,OMGG,,,,
OMGG,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
ML,30,,,,
MJB,30,,,,
HG,30,,,,
HEG,30,,,,
CG,30,,,,
STB,30,,,,
ML,30,,,,
30,MJB,,,,
MJB,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
FM,31,,,,
HG,31,,,,
HEG,31,,,,
CG,31,,,,
STB,31,,,,
FM,31,,,,
31,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
PAR,32,,,,
JH,32,,,,
RLFG,32,,,,
MC,32,,,,
HG,32,,,,
HEG,32,,,,
CG,32,,,,
STB,32,,,,
PAR,32,,,,
32,JH,,,,
JH,RLFG,,,,
RLFG,MC,,,,
MC,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
PAR,33,,,,
JH,33,,,,
RLFG,33,,,,
MC,33,,,,
HG,33,,,,
HEG,33,,,,
CG,33,,,,
STB,33,,,,
PAR,33,,,,
33,JH,,,,
JH,RLFG,,,,
RLFG,MC,,,,
MC,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
PAR,34,,,,
JH,34,,,,
RLFG,34,,,,
CV,34,,,,
HG,34,,,,
HEG,34,,,,
CG,34,,,,
STB,34,,,,
PAR,34,,,,
34,JH,,,,
JH,RLFG,,,,
RLFG,CV,,,,
CV,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
GDT,35,,,,
EC,35,,,,
CGB,35,,,,
PAG,35,,,,
LOG,35,,,,
HG,35,,,,
HEG,35,,,,
CG,35,,,,
STB,35,,,,
GDT,35,,,,
35,EC,,,,
EC,CGB,,,,
CGB,PAG,,,,
PAG,LOG,,,,
LOG,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
