from,to,time,time_period,edge,directly
CGB,19,1943,4,12,
HG,19,1956,6,12,
HEG,19,1968,6,12,
CG,19,2014,8,12,
STB,19,2021,8,12,
BD,19,2021,8,12,
BG,AOM,1913,1,,2
AOM,CGB,1914,1,,1
CGB,E,,,1,1
E,CGB,1943,4,1,
CGB,HG,1956,6,,
HG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2021,8,4,1
STB,BD,2021,8,,1
BG,20,,,15,2
RVH,20,1936,3,12,
HG,20,1956,6,12,
HEG,20,1968,6,12,
CG,20,2014,8,12,
STB,20,2021,8,12,
BD,20,2021,8,12,
BG,RVH,1936,3,,2
RVH,HG,1956,6,,
HG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2021,8,4,1
STB,BD,2021,8,,1
LG,21,,,15,2
HG,21,1956,6,12,
HEG,21,1968,6,12,
CG,21,2014,8,12,
STB,21,2014,8,12,
LG,HG,1956,6,,2
HG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2014,8,4,1
OM,42,1536,1,15,2
KBCFP,42,,,12,
TH,42,1944,4,12,
HG,42,1944,4,12,
FM,42,1945,4,12,
AMR,42,1949,5,12,
MBHE,42,1952,5,12,
BD,42,1952,5,12,
OM,KBCFP,,1,15,2
KBCFP,TH,1944,4,,2
TH,HG,1944,4,1,1
HG,FM,1945,4,5,1
FM,AMR,1949,5,9,2
AMR,MBHE,1952,5,10,1
MBHE,BD,1952,5,11,1
MSM,43,1798,1,15,1
FP,43,1943,4,12,
HG,43,1944,4,12,
FM,43,1945,4,12,
JOD,43,1956,6,12,
ALT,43,1956,6,12,
KP,43,1956,6,12,
KRM,43,1957,6,12,
BTVK,43,1957,6,12,
BD,43,,,12,
MSM,FP,,,,2
FP,HG,1944,4,,2
HG,FM,1945,4,5,1
FM,JOD,1956,6,2,1
JOD,ALT,1956,6,2,1
ALT,KP,1957,6,8,1
KP,KRM,1957,6,9,1
KRM,BTVK,1957,6,10,1
BTVK,BD,1969,6,11,1
HG,44,,,12,2
PRSS,44,2020,6,12,
BD,44,2020,6,12,
HG,PRSS,2020,6,,2
PRSS,BD,2020,6,3,1
JPH,45,1794,1,15,1
FR,45,1939,4,12,
HG,45,1939,4,12,
KH,45,1940,4,12,
KKM,45,1941,4,12,
BAA,45,1943,4,12,
AMR,45,1945,4,12,
DB,45,1949,5,12,
EFR,45,2017,8,12,
JPH,FR,1939,4,,2
FR,HG,1939,4,6,1
HG,KH,1940,4,1,1
KH,KKM,1941,4,5,1
KKM,BAA,1943,4,5,2
BAA,AMR,1945,4,9,2
AMR,DB,1949,5,10,1
DB,EFR,2017,8,7,1
ALS,46,,,15,1
TH,46,1943,4,12,
HG,46,1944,4,12,
DR,46,1944,4,12,
NSPZ,46,1945,4,12,
BD,46,1952,5,12,
ALS,TH,1943,4,,2
TH,HG,1944,4,1,1
HG,DR,1944,4,1,1
DR,NSPZ,1945,4,5,1
NSPZ,BD,1952,5,11,1
MS,48,1907,1,15,
EFU,48,1933,3,12,
GE,48,1933,3,12,
ARL,48,1937,3,12,
HG,48,1937,3,12,
MS,EFU,,,,1
EFU,GE,1933,3,6,1
GE,ARL,1937,3,,2
ARL,HG,1937,3,13,1
MS,49,1909,1,15,
EFU,49,1909,1,12,
FBZ,49,1933,3,12,
GE,49,1933,3,12,
ARL,49,1937,3,12,
HG,49,1937,3,12,
AG,49,2000,7,12,
MS,EFU,1909,1,,1
EFU,FBZ,1933,3,6,1
FBZ,GE,1933,3,6,1
GE,ARL,1937,3,,1
ARL,HG,1937,3,13,1
HG,AG,2000,7,1,2
CDJE,50,1768,1,15,
PM,50,1769,1,12,
LDE,50,,,12,
AHD,50,1898,1,12,
HDdlM,50,1898,1,12,
DWP,50,,,12,
RG,50,1944,4,12,
HG,50,1953,5,12,
PRSS,50,,,12,
EHDdlM,50,2025,8,12,
CDJE,PM,1769,1,1,1
PM,LDE,,,,2
LDE,AHD,1898,1,,1
AHD,HDdlM,1898,1,13,1
HDdlM,DWP,,,6,
DWP,RG,1944,4,,2
RG,HG,1953,5,,1
HG,PRSS,,,4,1
PRSS,EHDdlM,2019,8,7,1
MS,51,1900,1,15,
EFU,51,1909,1,12,
GE,51,1933,3,12,
ARL,51,1937,3,12,
HG,51,1937,3,12,
KL,51,2004,7,12,
VdHMW,51,2025,8,12,
MS,EFU,1909,1,1,1
EFU,GE,1933,3,6,1
GE,ARL,1937,3,,1
ARL,HG,1937,3,13,1
HG,KL,2004,7,,
KL,VdHMW,,,,
MS,52,,,15,
EFU,52,1933,3,12,
GE,52,1933,3,12,
ARL,52,1937,3,12,
HG,52,1937,3,12,
MS,EFU,,3,1,
EFU,GE,1933,3,6,1
GE,ARL,1937,3,,1
ARL,HG,1937,3,13,1
AVC,53,,,15,
GMU,53,,,12,
AGGP,53,1899,1,12,
HDdlM,53,1899,1,12,
DWP,53,,,12,
HG,53,1945,4,12,
PRSS,53,,,12,
EHDdlM,53,2025,8,12,
AVC,GMU,,,,2
GMU,AGGP,1899,1,,1
AGGP,HDdlM,1899,1,13,1
HDdlM,DWP,,,,
DWP,HG,1945,4,,2
HG,PRSS,,,4,1
PRSS,EHDdlM,2019,8,7,1
CGU,54,,,15,
GFT,54,,,12,
AID,54,,,12,
AHdSN,54,1942,4,12,
B,54,1942,4,12,
RG,54,1944,4,12,
HG,54,1953,5,12,
PRSS,54,,,12,
EAID,54,2025,8,12,
CGU,GFT,,,,2
GFT,AID,,,,2
AID,AHdSN,1942,4,,
AHdSN,B,1942,4,13,1
B,RG,1944,4,,2
RG,HG,1953,5,,1
HG,PRSS,,,4,1
PRSS,EAID,2020,8,7,1
ASA,55,,,15,
GMU,55,,,12,
AGGP,55,1899,1,12,
HDdlM,55,1899,1,12,
DWP,55,,,12,
RG,55,1944,4,12,
HG,55,1953,5,12,
PRSS,55,,,12,
EHDdlM,55,2025,8,12,
ASA,GMU,,,,2
GMU,AGGP,1899,1,,1
AGGP,HDdlM,1899,1,13,1
HDdlM,DWP,,,6,1
DWP,RG,1944,4,,2
RG,HG,1953,5,1,1
HG,PRSS,,,4,1
PRSS,EHDdlM,2019,8,7,1
BJ,56,1625,1,,
FP,56,,,,
HG,56,1944,4,,
SKD,56,1944,4,,
MNR,56,,,,
BJ,FP,,,1,2
FP,HG,1944,4,1,2
HG,SKD,1944,4,1,1
SKD,MNR,,,5,2
MN,57,1657,1,,1
FP,57,,,,
HG,57,,,,
SKD,57,,,,
RF,57,,,,
MN,FP,,,1,1
FP,HG,,,,2
HG,SKD,1944,4,1,1
SKD,RF,,,11,2
JJV,58,1641,1,,1
FP,58,,,,
HG,58,,,,
SKD,58,,,,
MNR,58,,,,
JJV,FP,,,1,1
FP,HG,,,,2
HG,SKD,1944,4,1,1
SKD,MNR,,,11,2
LG,22,,,15,
HG,22,1956,6,12,
HEG,22,1956,6,12,
CG,22,1968,6,12,
STB,22,2025,8,12,
LG,HG,1956,6,,2
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
AGR,23,1813,1,15,
TH,23,1943,4,12,
HG,23,1943,4,12,
MG,23,1949,5,12,
HG,23,1949,5,12,
HEG,23,1956,6,12,
CG,23,1968,6,12,
STB,23,2014,8,12,
BD,23,2025,8,12,
AGR,TH,1943,4,,2
TH,HG,1943,4,,1
HG,MG,1949,5,,1
MG,HG,1949,5,,1
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
STB,BD,2021,8,,1
OG,24,1926,2,15,
HG,24,1945,4,12,
OMGG,24,1945,4,12,
HG,24,1950,5,12,
HEG,24,1956,6,12,
CG,24,1968,6,12,
STB,24,2025,8,12,
OG,HG,1945,4,,2
HG,OMGG,1945,4,9,1
OMGG,HG,1950,5,,1
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
GG,25,1924,2,15,
VGF,25,1924,2,12,
GAF,25,,,12,
HG,25,1956,6,12,
HEG,25,1956,6,12,
CG,25,1968,6,12,
STB,25,2025,8,12,
GG,VGF,1924,2,,1
VGF,GAF,,,,1
GAF,HG,1956,6,,2
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
MAG,26,,,15,
AELB,26,1905,1,12,
AGGP,26,1905,1,12,
PDG,26,1905,1,12,
HG,26,1956,6,12,
HEG,26,1956,6,12,
CG,26,1968,6,12,
STB,26,2025,8,12,
MAG,AELB,1905,1,,2
AELB,AGGP,1905,1,,1
AGGP,PDG,1905,1,1,1
PDG,HG,1956,6,,2
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
BK,27,,,15,
HG,27,1945,4,12,
OMGG,27,1945,4,12,
HG,27,1950,5,12,
HEG,27,1956,6,12,
CG,27,1968,6,12,
STB,27,2025,8,12,
BK,HG,1945,4,,
HG,OMGG,1945,4,,
OMGG,HG,1950,5,,
HG,HEG,1956,6,,
HEG,CG,1968,6,,
CG,STB,2014,8,,
WL,28,1923,2,15,
FSG,28,,,12,
HG,28,1945,4,12,
OMGG,28,1945,4,12,
HG,28,1950,5,12,
HEG,28,1956,6,12,
CG,28,1968,6,12,
STB,28,2025,8,12,
WL,FSG,,,,2
FSG,HG,1945,4,,2
HG,OMGG,1945,4,9,1
OMGG,HG,1950,5,,1
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
WL,29,1923,2,15,
FSG,29,1929,2,12,
HG,29,1945,4,12,
OMGG,29,1945,4,12,
HG,29,1950,5,12,
HEG,29,1956,6,12,
CG,29,1968,6,12,
STB,29,2025,8,12,
WL,FSG,1929,2,,
FSG,HG,1945,4,,
HG,OMGG,1945,4,9,1
OMGG,HG,1950,5,,1
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
ML,30,1914,1,15,1
MJB,30,,,12,
HG,30,,,12,
HEG,30,1956,6,12,
CG,30,1968,6,12,
STB,30,2014,6,12,
ML,MJB,1914,1,3,1
MJB,HG,,,,2
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
FM,31,1920,2,15,1
HG,31,,,12,
HEG,31,1956,6,12,
CG,31,1968,6,12,
STB,31,2025,8,12,
FM,HG,1920,2,,2
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
PAR,32,,,15,
JH,32,1941,4,12,
RLFG,32,1941,4,12,
MC,32,1941,4,12,
HG,32,1945,4,12,
HEG,32,1956,6,12,
CG,32,1968,6,12,
STB,32,2025,8,12,
PAR,JH,1941,4,,2
JH,RLFG,1941,4,1,1
RLFG,MC,1941,4,1,1
MC,HG,1945,4,,2
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
PAR,33,1895,1,15,
JH,33,1929,2,,
RLFG,33,1941,4,,
MC,33,1941,4,,
